Pairwise stats
gst = Nei & Chesser, (1983)
Gst = Hedrick, (2005)
GGst = Meirmans & Hedrick, (2011)
D = Jost, (2008)
Fst = Weir & Cockerham's theta, (1984)

gst

pops	PSHB2,	PSHWT,	QBB2,	QBOC,	QBWC,	WBB2,	WBOC,	WBWC,
PSHB2,	 							
PSHWT,	 0.0419							
QBB2,	 0.0154	0.0429						
QBOC,	 0.0425	0.0089	0.0436					
QBWC,	 0.0431	0.0091	0.0429	0.0082				
WBB2,	 0.016	0.0574	0.0107	0.0596	0.0604			
WBOC,	 0.0397	0.0099	0.0401	0.0087	0.0106	0.0567		
WBWC,	 0.0438	0.0095	0.0417	0.0072	0.0074	0.0585	0.0083	

Gst

pops	PSHB2,	PSHWT,	QBB2,	QBOC,	QBWC,	WBB2,	WBOC,	WBWC,
PSHB2,	 							
PSHWT,	 0.0738							
QBB2,	 0.0274	0.0759						
QBOC,	 0.075	0.0155	0.0772					
QBWC,	 0.0753	0.0157	0.0753	0.0142				
WBB2,	 0.0281	0.1004	0.0189	0.1044	0.1047			
WBOC,	 0.0703	0.0174	0.0713	0.0153	0.0184	0.0995		
WBWC,	 0.0771	0.0167	0.0737	0.0126	0.0129	0.1022	0.0145	

GGst

pops	PSHB2,	PSHWT,	QBB2,	QBOC,	QBWC,	WBB2,	WBOC,	WBWC,
PSHB2,	 							
PSHWT,	 0.1111							
QBB2,	 0.0421	0.1139						
QBOC,	 0.1127	0.0242	0.1158					
QBWC,	 0.1135	0.0245	0.1133	0.0223				
WBB2,	 0.0433	0.1492	0.0293	0.1549	0.1557			
WBOC,	 0.1058	0.027	0.1072	0.0238	0.0286	0.1479		
WBWC,	 0.1158	0.026	0.1108	0.0197	0.0202	0.1518	0.0226	

D

pops	PSHB2,	PSHWT,	QBB2,	QBOC,	QBWC,	WBB2,	WBOC,	WBWC,
PSHB2,	 							
PSHWT,	 0.0052							
QBB2,	 5e-04	0.005						
QBOC,	 0.005	2e-04	0.0053					
QBWC,	 0.0055	2e-04	0.005	1e-04				
WBB2,	 7e-04	0.0085	2e-04	0.0091	0.0093			
WBOC,	 0.0049	2e-04	0.0044	2e-04	2e-04	0.0086		
WBWC,	 0.0057	2e-04	0.0049	1e-04	1e-04	0.0091	1e-04	

Fst

pops	PSHB2,	PSHWT,	QBB2,	QBOC,	QBWC,	WBB2,	WBOC,	WBWC,
PSHB2,	 							
PSHWT,	 0.0694							
QBB2,	 0.0227	0.073						
QBOC,	 0.0714	0.0037	0.0745					
QBWC,	 0.0723	0.0039	0.0735	0.0034				
WBB2,	 0.0238	0.0997	0.0152	0.1041	0.1054			
WBOC,	 0.0694	0.0097	0.072	0.008	0.0115	0.1018		
WBWC,	 0.0753	0.007	0.0731	0.0033	0.0036	0.1035	0.0088	

