loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus1	-0.0190	-0.0372	-0.0401	-0.0179	-0.2353	-0.0086	-0.2460
Locus2	 0.0109	 0.0146	 0.0161	 0.0037	-0.0540	 0.0120	-0.0414
Locus3	 0.1013	 0.1162	 0.1289	 0.0166	 0.4117	 0.1036	 0.4727
Locus4	 0.0026	 0.0043	 0.0047	 0.0018	-0.1767	 0.0135	-0.1608
Locus5	 0.0277	 0.0416	 0.0453	 0.0143	 0.0391	 0.0278	 0.0658
Locus6	 0.1152	 0.1448	 0.1587	 0.0335	-0.1424	 0.1322	 0.0086
Locus7	-0.0238	-0.0428	-0.0463	-0.0185	-0.3085	-0.0136	-0.3263
Locus8	 0.0566	 0.0649	 0.0724	 0.0087	 0.0621	 0.0606	 0.1189
Locus9	-0.0105	-0.0201	-0.0217	-0.0095	-0.3056	 0.0011	-0.3041
Locus10	 0.1927	 0.2287	 0.2493	 0.0446	-0.2246	 0.2300	 0.0571
Locus11	 0.0056	 0.0092	 0.0100	 0.0036	-0.1871	 0.0118	-0.1731
Locus12	-0.0117	-0.0249	-0.0267	-0.0131	-0.2354	 0.0008	-0.2345
Locus13	 0.0046	 0.0077	 0.0084	 0.0031	 0.0544	 0.0076	 0.0616
Locus14	 0.0853	 0.0967	 0.1075	 0.0124	 0.1163	 0.0851	 0.1915
Locus15	-0.0048	-0.0062	-0.0069	-0.0014	-0.1274	 0.0008	-0.1265
Locus16	-0.0299	-0.0374	-0.0418	-0.0072	 0.0594	-0.0368	 0.0249
Locus17	 0.0143	 0.0175	 0.0195	 0.0033	-0.1117	 0.0200	-0.0895
Locus18	 0.0455	 0.0913	 0.0972	 0.0480	 0.1668	 0.0435	 0.2030
Locus19	 0.0698	 0.0964	 0.1054	 0.0286	-0.0678	 0.0806	 0.0183
Locus20	 0.0441	 0.0558	 0.0617	 0.0122	-0.0621	 0.0584	-0.0001
Locus21	 0.0317	 0.0433	 0.0476	 0.0120	-0.1244	 0.0407	-0.0787
Locus22	 0.1074	 0.1200	 0.1333	 0.0142	 0.0509	 0.1263	 0.1708
Locus23	 0.0793	 0.0876	 0.0978	 0.0091	 0.6324	 0.0583	 0.6538
Locus24	 0.0291	 0.0544	 0.0583	 0.0261	-0.1204	 0.0420	-0.0734
Locus25	 0.0835	 0.1058	 0.1164	 0.0244	 0.2235	 0.0818	 0.2870
Locus26	 0.0365	 0.0419	 0.0469	 0.0057	 0.5124	 0.0161	 0.5202
Locus27	 0.0538	 0.0751	 0.0821	 0.0225	 0.1807	 0.0531	 0.2241
Locus28	 0.0377	 0.0502	 0.0553	 0.0130	 0.4390	 0.0234	 0.4521
Locus29	 0.0484	 0.0944	 0.1006	 0.0484	-0.2724	 0.0699	-0.1835
Locus30	-0.0152	-0.0198	-0.0220	-0.0046	 0.1056	-0.0210	 0.0869
Locus31	 0.0457	 0.0528	 0.0589	 0.0074	 0.2625	 0.0365	 0.2894
Locus32	-0.0121	-0.0258	-0.0276	-0.0136	 0.0220	-0.0178	 0.0046
Locus33	-0.0110	-0.0136	-0.0152	-0.0026	 0.1726	-0.0198	 0.1562
Locus34	 0.1065	 0.1827	 0.1949	 0.0852	 0.0041	 0.1290	 0.1326
Locus35	 0.0596	 0.0849	 0.0926	 0.0269	-0.0477	 0.0698	 0.0254
Locus36	 0.0845	 0.1157	 0.1262	 0.0341	-0.1798	 0.0911	-0.0723
Locus37	 0.0737	 0.1434	 0.1524	 0.0753	 0.3293	 0.0743	 0.3791
Locus38	 0.0747	 0.0895	 0.0991	 0.0159	 0.1875	 0.0926	 0.2627
Locus39	 0.0088	 0.0140	 0.0152	 0.0053	-0.0322	 0.0101	-0.0218
Locus40	-0.0033	-0.0038	-0.0043	-0.0004	 0.1941	-0.0135	 0.1832
Locus41	 0.0478	 0.0573	 0.0637	 0.0100	 0.1481	 0.0394	 0.1816
Locus42	 0.0143	 0.0286	 0.0306	 0.0145	-0.2185	 0.0234	-0.1900
Locus43	 0.2310	 0.3663	 0.3866	 0.1760	-0.1517	 0.2793	 0.1699
Locus44	 0.1680	 0.1847	 0.2038	 0.0201	 0.0073	 0.1997	 0.2056
Locus45	 0.0060	 0.0070	 0.0078	 0.0010	 0.1108	 0.0024	 0.1129
Locus46	-0.0262	-0.0542	-0.0581	-0.0272	-0.3342	-0.0136	-0.3524
Locus47	 0.1051	 0.1237	 0.1367	 0.0208	-0.0084	 0.1112	 0.1038
Locus48	 0.0009	 0.0010	 0.0012	 0.0002	 0.1108	-0.0020	 0.1090
Locus49	-0.0230	-0.0341	-0.0375	-0.0109	-0.0243	-0.0247	-0.0496
Locus50	 0.0487	 0.0559	 0.0624	 0.0076	 0.5034	 0.0314	 0.5190
Locus51	 0.2330	 0.3205	 0.3424	 0.1141	-0.2372	 0.2617	 0.0866
Locus52	 0.0058	 0.0068	 0.0076	 0.0010	 0.4752	-0.0203	 0.4645
Locus53	 0.0589	 0.0969	 0.1045	 0.0404	 0.0835	 0.0649	 0.1429
Locus54	 0.0084	 0.0159	 0.0171	 0.0075	-0.0922	 0.0140	-0.0769
Locus55	 0.0335	 0.0495	 0.0540	 0.0165	-0.0450	 0.0443	 0.0013
Locus56	-0.0200	-0.0312	-0.0342	-0.0111	-0.1603	-0.0145	-0.1771
Locus57	 0.1075	 0.1261	 0.1393	 0.0208	 0.4930	 0.0994	 0.5434
Locus58	 0.0614	 0.0714	 0.0795	 0.0107	 0.0744	 0.0680	 0.1373
Locus59	 0.0053	 0.0058	 0.0066	 0.0005	 0.2248	-0.0063	 0.2199
Locus60	 0.1607	 0.1956	 0.2136	 0.0416	 0.4659	 0.1654	 0.5543
Locus61	-0.0050	-0.0077	-0.0085	-0.0027	-0.1776	 0.0024	-0.1748
Locus62	 0.0029	 0.0035	 0.0039	 0.0006	 0.3891	-0.0147	 0.3801
Locus63	 0.0378	 0.0781	 0.0830	 0.0419	-0.1074	 0.0418	-0.0611
Locus64	 0.1401	 0.1588	 0.1753	 0.0218	 0.5981	 0.1282	 0.6496
Locus65	-0.0020	-0.0042	-0.0045	-0.0023	-0.2535	 0.0079	-0.2436
Locus66	 0.0536	 0.0760	 0.0830	 0.0236	-0.1885	 0.0699	-0.1054
Locus67	-0.0104	-0.0143	-0.0158	-0.0038	-0.0546	-0.0088	-0.0639
Locus68	 0.0127	 0.0184	 0.0201	 0.0057	-0.1501	 0.0224	-0.1243
Locus69	 0.1338	 0.2339	 0.2483	 0.1156	-0.0717	 0.1477	 0.0866
Locus70	 0.0230	 0.0268	 0.0300	 0.0038	 0.0934	 0.0240	 0.1151
