Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus1	-0.0190	-0.0493	 0.0040
Locus2	 0.0109	-0.0364	 0.1176
Locus3	 0.1013	-0.0144	 0.3433
Locus4	 0.0026	-0.0387	 0.0609
Locus5	 0.0277	-0.0200	 0.1169
Locus6	 0.1152	 0.0219	 0.1694
Locus7	-0.0238	-0.0400	-0.0052
Locus8	 0.0566	 0.0189	 0.1560
Locus9	-0.0105	-0.0470	 0.0512
Locus10	 0.1927	 0.0687	 0.2803
Locus11	 0.0056	-0.0285	 0.0428
Locus12	-0.0117	-0.0319	 0.0328
Locus13	 0.0046	-0.0515	 0.0714
Locus14	 0.0853	 0.0081	 0.1587
Locus15	-0.0048	-0.0364	 0.0344
Locus16	-0.0299	-0.0646	 0.0059
Locus17	 0.0143	-0.0131	 0.0659
Locus18	 0.0455	-0.0295	 0.1053
Locus19	 0.0698	 0.0116	 0.1367
Locus20	 0.0441	-0.0114	 0.0977
Locus21	 0.0317	-0.0066	 0.0699
Locus22	 0.1074	 0.0387	 0.1949
Locus23	 0.0793	-0.0044	 0.2133
Locus24	 0.0291	-0.0091	 0.1056
Locus25	 0.0835	 0.0343	 0.1889
Locus26	 0.0365	-0.0322	 0.1810
Locus27	 0.0538	-0.0079	 0.1478
Locus28	 0.0377	-0.0337	 0.1556
Locus29	 0.0484	-0.0244	 0.1296
Locus30	-0.0152	-0.0701	 0.0482
Locus31	 0.0457	-0.0190	 0.1273
Locus32	-0.0121	-0.0765	 0.0564
Locus33	-0.0110	-0.0551	 0.0418
Locus34	 0.1065	 0.0282	 0.1402
Locus35	 0.0596	-0.0119	 0.1095
Locus36	 0.0845	 0.0487	 0.1348
Locus37	 0.0737	 0.0048	 0.1939
Locus38	 0.0747	-0.0265	 0.2295
Locus39	 0.0088	-0.0431	 0.1024
Locus40	-0.0033	-0.0315	 0.0339
Locus41	 0.0478	-0.0286	 0.1416
Locus42	 0.0143	-0.0301	 0.0481
Locus43	 0.2310	 0.1567	 0.2938
Locus44	 0.1680	 0.0491	 0.2993
Locus45	 0.0060	-0.0216	 0.0580
Locus46	-0.0262	-0.0500	 0.0168
Locus47	 0.1051	 0.0310	 0.1763
Locus48	 0.0009	-0.0375	 0.0903
Locus49	-0.0230	-0.0412	 0.0076
Locus50	 0.0487	-0.0328	 0.2161
Locus51	 0.2330	 0.0970	 0.3573
Locus52	 0.0058	-0.0603	 0.1359
Locus53	 0.0589	 0.0334	 0.1073
