Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	PSHB2,  vs  PSHWT,	PSHB2,  vs  QBB2,	PSHB2,  vs  QBOC,	PSHB2,  vs  QBWC,	PSHB2,  vs  WBB2,	PSHB2,  vs  WBOC,	PSHB2,  vs  WBWC,	PSHWT,  vs  QBB2,	PSHWT,  vs  QBOC,	PSHWT,  vs  QBWC,	PSHWT,  vs  WBB2,	PSHWT,  vs  WBOC,	PSHWT,  vs  WBWC,	QBB2,  vs  QBOC,	QBB2,  vs  QBWC,	QBB2,  vs  WBB2,	QBB2,  vs  WBOC,	QBB2,  vs  WBWC,	QBOC,  vs  QBWC,	QBOC,  vs  WBB2,	QBOC,  vs  WBOC,	QBOC,  vs  WBWC,	QBWC,  vs  WBB2,	QBWC,  vs  WBOC,	QBWC,  vs  WBWC,	WBB2,  vs  WBOC,	WBB2,  vs  WBWC,	WBOC,  vs  WBWC,
Locus1	-0.0242	-0.0249	-0.0193	-0.0193	-0.0071	-0.0213	0.0073	-0.0268	-0.0188	-0.0188	-0.0116	-0.0231	0.0015	-0.0175	-0.0175	-0.0165	-0.0249	-0.0051	-0.0213	0.01	-0.0139	0.0293	0.01	-0.0139	0.0293	-0.0129	-0.0188	-0.0015
Locus2	0.0148	-0.0071	-0.0205	-0.0233	-0.0151	0.0054	-0.022	0.0753	0.0014	0.0148	0.0524	0.0946	0.0223	0.0063	-0.0071	-0.0219	-0.0239	-0.0102	-0.0205	-0.0054	0.0206	-0.0178	-0.0151	0.0054	-0.022	-0.0139	-0.0166	0.0015
Locus3	-0.0185	0.0303	0.033	0.034	0.0318	0.0258	-0.0227	0	0.0027	0.0037	0.0015	0.0724	-0.0219	NaN	NaN	NaN	0.1464	0.0186	NaN	NaN	0.149	0.0212	NaN	0.15	0.0222	0.1479	0.02	0.05
Locus4	-0.0239	-0.0234	-0.0056	0.0657	-0.0219	-0.0211	-0.0056	-0.0264	-0.0121	0.0522	-0.0216	-0.0233	-0.0121	-0.0186	0.0372	-0.02	-0.0246	-0.0186	0.0084	8e-04	-0.012	-0.0213	0.0779	0.0491	0.0084	-0.0184	8e-04	-0.012
Locus5	0.0733	-0.0249	0.0549	0.0912	0.0275	0.0549	-0.0071	0.0532	-0.0219	-0.0226	-0.0138	-0.0219	0.0155	0.0366	0.07	0.0121	0.0366	-0.0165	-0.0166	-0.0178	-0.0213	0.0044	-0.0054	-0.0166	0.0288	-0.0178	-0.0108	0.0044
Locus6	0.1041	-0.012	0.0172	0.1062	-0.0216	0.1062	0.0518	0.1738	0.02	NaN	0.1198	NaN	-0.0022	0.07	0.176	-0.0165	0.176	0.1151	0.0222	0.0288	0.0222	-0.0139	0.122	NaN	0	0.122	0.066	0
Locus7	-0.0241	0.0053	-0.022	-0.022	-0.0166	-0.0214	-0.0067	-0.0023	-0.0222	-0.0222	-0.0203	-0.0234	-0.0124	0.0121	0.0121	-0.0144	-0.0028	-0.0221	-0.0213	-0.0129	-0.0193	-0.0015	-0.0129	-0.0193	-0.0015	-0.0191	-0.0188	-0.012
Locus8	0.0012	NaN	NaN	0.0445	NaN	0.0445	0.0943	-0.0015	0.0022	-0.0058	0.0022	-0.0058	0.0323	NaN	0.0418	NaN	0.0418	0.0916	0.0455	NaN	0.0455	0.0952	0.0455	-0.0213	-0.0088	0.0455	0.0952	-0.0088
Locus9	0.0102	0.027	0.0188	-0.0216	-0.0169	-0.0216	-0.0169	-0.0251	-0.0232	0.0022	-0.0105	0.0022	-0.0105	-0.0241	0.0168	2e-04	0.0168	2e-04	0.01	-0.0042	0.01	-0.0042	-0.0191	-0.0213	-0.0191	-0.0191	-0.0213	-0.0191
Locus10	0.1989	0.0623	0.201	0.201	-0.0164	0.201	0.201	0.0318	NaN	NaN	0.1479	NaN	NaN	0.034	0.034	0.0258	0.034	0.034	NaN	0.15	NaN	NaN	0.15	NaN	NaN	0.15	0.15	NaN
Locus11	0.0673	-0.0216	-0.0218	-0.0059	-0.0179	-0.0166	-0.0166	0.1028	0.0798	0.0118	0.1064	0.0323	0.0323	-0.0229	0.0121	-0.0249	-0.0051	-0.0051	8e-04	-0.0193	-0.012	-0.012	0.0158	-0.0184	-0.0184	-0.0015	-0.0015	-0.0213
Locus12	-0.0255	-0.0246	-0.021	-0.021	0.0244	-0.0198	-0.0161	-0.0254	-0.0247	-0.0247	0.0309	-0.02	-0.0216	-0.0199	-0.0199	0.0079	-0.0247	-0.0119	-0.0213	0.0413	-0.0141	-0.0194	0.0413	-0.0141	-0.0194	0.0067	0.0641	-0.0049
Locus13	-5e-04	0.017	0.0909	0.0322	0.0429	0.0658	-0.0192	-0.0254	0.0139	-0.0188	-0.0121	-7e-04	-0.0131	-0.0086	-0.0294	-0.0245	-0.0183	-0.0011	-0.0142	-0.0135	-0.0194	0.0622	-0.0247	-0.0213	0.0114	-0.0193	0.0208	0.0402
Locus14	NaN	0.1144	NaN	0	-0.0012	NaN	0.0488	0.1144	NaN	0	-0.0012	NaN	0.0488	0.1156	0.0496	0.0555	0.1166	-0.007	0.0012	0	NaN	0.05	-0.0243	0.0022	-0.0024	0.001	0.0017	0.051
Locus15	-0.0243	0.0128	-0.002	0.0376	-0.0222	0.0165	-0.002	0.0081	-0.0058	0.0323	-0.0231	0.0118	-0.0058	-0.0214	-0.0221	0.017	-0.0249	-0.0214	-0.0088	0.0015	-0.0178	-0.0213	0.0423	-0.0184	-0.0088	0.0206	0.0015	-0.0178
Locus16	-0.0242	-0.0213	-0.0125	-0.0181	-0.0192	-0.0192	-0.0233	-0.0202	-0.0105	-0.0213	-0.0219	-0.0219	-0.0242	-0.0239	-0.0071	-0.0102	-0.0102	-0.0213	0.0054	0.0015	0.0015	-0.0125	-0.022	-0.022	-0.0181	-0.0213	-0.0192	-0.0192
