	
locus	Mean	Lower_95%CI	Upper_95%CI	
Gst				
Locus1	0.0358	0.0159	0.0583	
Locus2	0.0246	0.0084	0.0512	
Locus3	0.0228	0.0092	0.0409	
Locus4	0.0252	0.0069	0.0518	
Locus5	0.0313	0.0132	0.0569	
Locus6	0.0553	0.0308	0.0865	
Locus7	0.0229	0.0064	0.0469	
Locus8	0.0209	0.0062	0.0378	
Locus9	0.0299	0.0145	0.0516	
Locus10	0.0652	0.0331	0.095	
Locus11	0.0372	0.0144	0.059	
Locus12	0.0261	0.0156	0.0417	
Locus13	0.0384	0.0218	0.0699	
Locus14	0.0355	0.0121	0.0657	
Locus15	0.024	0.0094	0.0441	
Locus16	0.0146	0.0062	0.0312	
Locus17	0.0257	0.0074	0.0513	
Locus18	0.0476	0.0246	0.0767	
Locus19	0.0557	0.0323	0.0817	
Locus20	0.0354	0.0142	0.0647	
Locus21	0.0421	0.021	0.0686	
Locus22	0.0314	0.0115	0.0667	
Locus23	0.0161	0.005	0.0355	
Locus24	0.0374	0.0182	0.0588	
Locus25	0.0382	0.0199	0.0623	
Locus26	0.0175	0.0065	0.0334	
Locus27	0.0395	0.019	0.0656	
Locus28	0.0287	0.0142	0.0454	
Locus29	0.0477	0.0229	0.0806	
Locus30	0.0173	0.0067	0.0322	
Locus31	0.0312	0.0129	0.0562	
Locus32	0.0382	0.0202	0.0605	
Locus33	0.0174	0.0073	0.0345	
Locus34	0.0705	0.0422	0.1077	
Locus35	0.0443	0.0195	0.0758	
Locus36	0.0648	0.0337	0.0917	
Locus37	0.0484	0.0261	0.0693	
Locus38	0.0458	0.0193	0.0841	
Locus39	0.0331	0.0125	0.0545	
Locus40	0.0173	0.0051	0.0356	
Locus41	0.0351	0.0181	0.0609	
Locus42	0.0364	0.015	0.0651	
Locus43	0.0801	0.0596	0.1033	
Locus44	0.0296	0.0082	0.0565	
Locus45	0.0132	0.0051	0.026	
Locus46	0.0325	0.0154	0.0528	
Locus47	0.0326	0.0128	0.065	
Locus48	0.0297	0.0139	0.0547	
Locus49	0.0214	0.0058	0.0413	
Locus50	0.0253	0.0097	0.05	
Locus51	0.0956	0.0651	0.1281	
Locus52	0.0166	0.0069	0.0301	
Locus53	0.0418	0.0224	0.0689	
Locus54	0.0348	0.0145	0.0555	
Locus55	0.04	0.0202	0.0678	
Locus56	0.0236	0.0095	0.0475	
Locus57	0.0264	0.0134	0.0442	
Locus58	0.0345	0.0118	0.0656	
Locus59	0.0087	0.0017	0.0215	
Locus60	0.0368	0.0191	0.0627	
Locus61	0.0331	0.0127	0.0591	
Locus62	0.0343	0.014	0.055	
Locus63	0.0444	0.0265	0.0688	
Locus64	0.0264	0.0094	0.0444	
Locus65	0.026	0.0133	0.0467	
Locus66	0.0452	0.0203	0.0746	
Locus67	0.0225	0.0078	0.0426	
Locus68	0.0287	0.0105	0.0531	
Locus69	0.0677	0.0473	0.0963	
Locus70	0.0167	0.0058	0.0303	
Locus71	0.0173	0.0075	0.0304	
Locus72	0.0488	0.0292	0.0701	
Locus73	0.0298	0.0135	0.056	
Locus74	0.0194	0.0062	0.0371	
Locus75	0.0469	0.0228	0.0783	
Locus76	0.0377	0.0142	0.0666	
Locus77	0.0188	0.0076	0.035	
Locus78	0.0661	0.0417	0.0895	
Locus79	0.0319	0.0112	0.0557	
Locus80	0.0257	0.012	0.0431	
Locus81	0.0516	0.0296	0.0773	
Locus82	0.0156	0.0055	0.0309	
Locus83	0.0881	0.0606	0.1241	
Locus84	0.0573	0.0357	0.0785	
Locus85	0.0435	0.026	0.0699	
Locus86	0.0262	0.0112	0.0506	
Locus87	0.0306	0.0161	0.0512	
Locus88	0.0671	0.0422	0.0998	
Locus89	0.0244	0.0086	0.0483	
Locus90	0.0232	0.0062	0.0425	
Locus91	0.0558	0.0359	0.0798	
Locus92	0.0294	0.0136	0.0491	
Locus93	0.0317	0.0164	0.0481	
Locus94	0.0303	0.0113	0.0612	
Locus95	0.035	0.0135	0.0663	
Locus96	0.0543	0.0272	0.0805	
Locus97	0.045	0.0258	0.0699	
Locus98	0.0242	0.009	0.0437	
Locus99	0.0669	0.0435	0.0974	
Locus100	0.0456	0.0286	0.0685	
Locus101	0.0384	0.0139	0.0744	
Locus102	0.0636	0.0424	0.0943	
Locus103	0.0294	0.0144	0.0498	
Locus104	0.0311	0.0122	0.0578	
Locus105	0.025	0.0115	0.0478	
Locus106	0.0221	0.0098	0.0421	
Locus107	0.0444	0.0233	0.0673	
Locus108	0.0287	0.0093	0.0606	
Locus109	0.0318	0.0096	0.0614	
Locus110	0.0238	0.0086	0.0422	
Locus111	0.0201	0.0085	0.0367	
Locus112	0.0297	0.0174	0.0504	
Locus113	0.0531	0.0244	0.083	
Locus114	0.037	0.0191	0.0694	
Locus115	0.0599	0.0263	0.1066	
Locus116	0.0279	0.01	0.0503	
Locus117	0.0532	0.0271	0.092	
Locus118	0.0732	0.0415	0.1047	
Locus119	0.0221	0.0091	0.0408	
Locus120	0.0294	0.0128	0.0524	
Locus121	0.0291	0.0119	0.0549	
Locus122	0.0876	0.0572	0.1299	
Locus123	0.0528	0.0311	0.0755	
Locus124	0.0223	0.0091	0.0382	
Locus125	0.0222	0.0084	0.0445	
Locus126	0.0343	0.0196	0.0597	
Locus127	0.0439	0.0227	0.0769	
Locus128	0.0584	0.0302	0.0863	
Locus129	0.0252	0.0075	0.0493	
Locus130	0.0432	0.0232	0.0672	
Locus131	0.0223	0.0097	0.0484	
Locus132	0.0179	0.0069	0.0341	
Locus133	0.0349	0.0185	0.0548	
Locus134	0.0158	0.0066	0.03	
Locus135	0.0456	0.0253	0.0696	
