gstEst								
comparison	actual	mean	BC_mean	Lower_95%CI	Upper_95%CI	BC_Lower_95%CI	BC_Upper_95%CI	
PSHB2, vs. PSHWT,	0.0419	0.0746	0.0419	0.0547	0.0995	0.022	0.0668	
PSHB2, vs. QBB2,	0.0154	0.0469	0.0154	0.0272	0.0688	-0.0043	0.0374	
PSHB2, vs. QBOC,	0.0425	0.0716	0.0425	0.056	0.0899	0.0269	0.0608	
PSHB2, vs. QBWC,	0.0431	0.0736	0.0431	0.056	0.0962	0.0255	0.0656	
PSHB2, vs. WBB2,	0.016	0.0429	0.016	0.0267	0.0663	-2e-04	0.0394	
PSHB2, vs. WBOC,	0.0397	0.0668	0.0397	0.0523	0.0861	0.0252	0.0589	
PSHB2, vs. WBWC,	0.0438	0.0716	0.0438	0.0563	0.0957	0.0284	0.0678	
PSHWT, vs. QBB2,	0.0429	0.0763	0.0429	0.0509	0.1163	0.0175	0.083	
PSHWT, vs. QBOC,	0.0089	0.0398	0.0089	0.0245	0.069	-0.0065	0.0381	
PSHWT, vs. QBWC,	0.0091	0.0408	0.0091	0.0278	0.0616	-0.0039	0.0299	
PSHWT, vs. WBB2,	0.0574	0.0856	0.0574	0.0618	0.112	0.0336	0.0839	
PSHWT, vs. WBOC,	0.0099	0.0387	0.0099	0.0248	0.0639	-0.004	0.0351	
PSHWT, vs. WBWC,	0.0095	0.0392	0.0095	0.0239	0.0645	-0.0058	0.0349	
QBB2, vs. QBOC,	0.0436	0.073	0.0436	0.0536	0.0971	0.0241	0.0677	
QBB2, vs. QBWC,	0.0429	0.0732	0.0429	0.0547	0.097	0.0244	0.0668	
QBB2, vs. WBB2,	0.0107	0.0387	0.0107	0.024	0.0629	-0.004	0.0349	
QBB2, vs. WBOC,	0.0401	0.0676	0.0401	0.0484	0.0973	0.021	0.0698	
QBB2, vs. WBWC,	0.0417	0.0697	0.0417	0.0509	0.095	0.0229	0.0669	
QBOC, vs. QBWC,	0.0082	0.0361	0.0082	0.0256	0.0508	-0.0023	0.0229	
QBOC, vs. WBB2,	0.0596	0.0838	0.0596	0.0666	0.1065	0.0424	0.0823	
QBOC, vs. WBOC,	0.0087	0.0339	0.0087	0.0218	0.0518	-0.0034	0.0266	
QBOC, vs. WBWC,	0.0072	0.0333	0.0072	0.0215	0.0501	-0.0045	0.0241	
QBWC, vs. WBB2,	0.0604	0.0855	0.0604	0.0675	0.1111	0.0424	0.086	
QBWC, vs. WBOC,	0.0106	0.0364	0.0106	0.0244	0.0545	-0.0014	0.0286	
QBWC, vs. WBWC,	0.0074	0.0342	0.0074	0.0209	0.0518	-0.0059	0.025	
WBB2, vs. WBOC,	0.0567	0.0791	0.0567	0.061	0.0992	0.0387	0.0769	
WBB2, vs. WBWC,	0.0585	0.0813	0.0585	0.065	0.0976	0.0421	0.0748	
WBOC, vs. WBWC,	0.0083	0.0321	0.0083	0.0197	0.0523	-0.0042	0.0285	
gstEstHed								
comparison	actual	mean	BC_mean	Lower_95%CI	Upper_95%CI	BC_Lower_95%CI	BC_Upper_95%CI	
PSHB2, vs. PSHWT,	0.0738	0.1265	0.0738	0.0947	0.1658	0.0421	0.1132	
PSHB2, vs. QBB2,	0.0274	0.0803	0.0274	0.0479	0.1159	-0.005	0.063	
PSHB2, vs. QBOC,	0.075	0.1221	0.075	0.097	0.1519	0.0499	0.1048	
PSHB2, vs. QBWC,	0.0753	0.1242	0.0753	0.0958	0.1589	0.0469	0.11	
PSHB2, vs. WBB2,	0.0281	0.073	0.0281	0.0463	0.1115	0.0014	0.0666	
PSHB2, vs. WBOC,	0.0703	0.1144	0.0703	0.0907	0.1454	0.0466	0.1012	
PSHB2, vs. WBWC,	0.0771	0.1221	0.0771	0.0978	0.1579	0.0528	0.1129	
PSHWT, vs. QBB2,	0.0759	0.1294	0.0759	0.0895	0.1898	0.036	0.1363	
PSHWT, vs. QBOC,	0.0155	0.0672	0.0155	0.0421	0.1134	-0.0096	0.0617	
PSHWT, vs. QBWC,	0.0157	0.0681	0.0157	0.0474	0.1009	-0.005	0.0485	
PSHWT, vs. WBB2,	0.1004	0.1445	0.1004	0.1076	0.1847	0.0634	0.1405	
PSHWT, vs. WBOC,	0.0174	0.0656	0.0174	0.043	0.1051	-0.0053	0.0569	
PSHWT, vs. WBWC,	0.0167	0.066	0.0167	0.041	0.106	-0.0084	0.0567	
QBB2, vs. QBOC,	0.0772	0.1248	0.0772	0.0941	0.1615	0.0466	0.114	
QBB2, vs. QBWC,	0.0753	0.1237	0.0753	0.0942	0.1609	0.0457	0.1125	
QBB2, vs. WBB2,	0.0189	0.0661	0.0189	0.0417	0.106	-0.0055	0.0588	
QBB2, vs. WBOC,	0.0713	0.1159	0.0713	0.0852	0.1622	0.0406	0.1177	
QBB2, vs. WBWC,	0.0737	0.119	0.0737	0.089	0.158	0.0437	0.1127	
QBOC, vs. QBWC,	0.0142	0.0607	0.0142	0.0435	0.0843	-0.0029	0.0378	
QBOC, vs. WBB2,	0.1044	0.1425	0.1044	0.1158	0.1771	0.0777	0.139	
QBOC, vs. WBOC,	0.0153	0.0578	0.0153	0.0376	0.0867	-0.0049	0.0442	
QBOC, vs. WBWC,	0.0126	0.0565	0.0126	0.0371	0.0841	-0.0067	0.0403	
QBWC, vs. WBB2,	0.1047	0.1438	0.1047	0.1159	0.1824	0.0768	0.1433	
QBWC, vs. WBOC,	0.0184	0.0614	0.0184	0.0419	0.0911	-0.0011	0.0481	
QBWC, vs. WBWC,	0.0129	0.0575	0.0129	0.0356	0.0857	-0.0089	0.0412	
WBB2, vs. WBOC,	0.0995	0.1349	0.0995	0.1062	0.1669	0.0708	0.1315	
WBB2, vs. WBWC,	0.1022	0.1381	0.1022	0.1125	0.1633	0.0766	0.1274	
WBOC, vs. WBWC,	0.0145	0.0547	0.0145	0.034	0.0877	-0.0062	0.0475	
djostEst								
comparison	actual	mean	BC_mean	Lower_95%CI	Upper_95%CI	BC_Lower_95%CI	BC_Upper_95%CI	
PSHB2, vs. PSHWT,	0.0052	0.012	0.0052	0.0078	0.0179	0.001	0.0111	
PSHB2, vs. QBB2,	5e-04	0.0051	5e-04	0.0017	0.0097	-0.0029	0.0051	
PSHB2, vs. QBOC,	0.005	0.0111	0.005	0.0075	0.0155	0.0014	0.0094	
PSHB2, vs. QBWC,	0.0055	0.0118	0.0055	0.0079	0.0174	0.0017	0.0111	
PSHB2, vs. WBB2,	7e-04	0.0045	7e-04	0.0019	0.0098	-0.002	0.0059	
PSHB2, vs. WBOC,	0.0049	0.0105	0.0049	0.0072	0.015	0.0016	0.0094	
PSHB2, vs. WBWC,	0.0057	0.0117	0.0057	0.0081	0.0168	0.0022	0.0109	
PSHWT, vs. QBB2,	0.005	0.012	0.005	0.0067	0.0213	-3e-04	0.0143	
PSHWT, vs. QBOC,	2e-04	0.0039	2e-04	0.0015	0.009	-0.0022	0.0053	
PSHWT, vs. QBWC,	2e-04	0.004	2e-04	0.0019	0.0074	-0.0019	0.0036	
PSHWT, vs. WBB2,	0.0085	0.0149	0.0085	0.0094	0.0224	0.003	0.016	
PSHWT, vs. WBOC,	2e-04	0.0039	2e-04	0.0017	0.0084	-0.0021	0.0047	
PSHWT, vs. WBWC,	2e-04	0.0038	2e-04	0.0015	0.0076	-0.0021	0.004	
QBB2, vs. QBOC,	0.0053	0.0116	0.0053	0.0077	0.0171	0.0014	0.0108	
QBB2, vs. QBWC,	0.005	0.0112	0.005	0.0073	0.0163	0.0011	0.0102	
QBB2, vs. WBB2,	2e-04	0.0036	2e-04	0.0013	0.0076	-0.0021	0.0042	
QBB2, vs. WBOC,	0.0044	0.0102	0.0044	0.0064	0.0165	6e-04	0.0107	
QBB2, vs. WBWC,	0.0049	0.0108	0.0049	0.0068	0.0159	9e-04	0.01	
QBOC, vs. QBWC,	1e-04	0.0034	1e-04	0.0017	0.0061	-0.0016	0.0028	
QBOC, vs. WBB2,	0.0091	0.0145	0.0091	0.0107	0.0195	0.0053	0.014	
QBOC, vs. WBOC,	2e-04	0.0034	2e-04	0.0015	0.0063	-0.0016	0.0031	
QBOC, vs. WBWC,	1e-04	0.0031	1e-04	0.0014	0.006	-0.0016	0.003	
QBWC, vs. WBB2,	0.0093	0.0147	0.0093	0.0108	0.02	0.0054	0.0146	
QBWC, vs. WBOC,	2e-04	0.0035	2e-04	0.0016	0.0071	-0.0017	0.0038	
QBWC, vs. WBWC,	1e-04	0.0031	1e-04	0.001	0.0062	-0.002	0.0031	
WBB2, vs. WBOC,	0.0086	0.0136	0.0086	0.0092	0.0187	0.0042	0.0137	
WBB2, vs. WBWC,	0.0091	0.0142	0.0091	0.0105	0.0185	0.0053	0.0133	
WBOC, vs. WBWC,	1e-04	0.0029	1e-04	0.0012	0.0065	-0.0016	0.0036	
thetaWC								
comparison	actual	mean	BC_mean	Lower_95%CI	Upper_95%CI	BC_Lower_95%CI	BC_Upper_95%CI	
PSHB2, vs. PSHWT,	0.0694	0.1307	0.0694	0.0933	0.1763	0.0321	0.115	
PSHB2, vs. QBB2,	0.0227	0.0852	0.0227	0.048	0.1287	-0.0145	0.0662	
PSHB2, vs. QBOC,	0.0714	0.1259	0.0714	0.0971	0.1588	0.0427	0.1044	
PSHB2, vs. QBWC,	0.0723	0.1294	0.0723	0.0969	0.17	0.0399	0.1129	
PSHB2, vs. WBB2,	0.0238	0.077	0.0238	0.0462	0.1219	-0.0071	0.0687	
PSHB2, vs. WBOC,	0.0694	0.1203	0.0694	0.0932	0.1546	0.0423	0.1037	
PSHB2, vs. WBWC,	0.0753	0.1272	0.0753	0.0993	0.1691	0.0474	0.1172	
PSHWT, vs. QBB2,	0.073	0.1357	0.073	0.0909	0.2051	0.0282	0.1424	
PSHWT, vs. QBOC,	0.0037	0.0653	0.0037	0.0357	0.1201	-0.0259	0.0585	
PSHWT, vs. QBWC,	0.0039	0.0672	0.0039	0.0425	0.1069	-0.0208	0.0437	
PSHWT, vs. WBB2,	0.0997	0.1508	0.0997	0.1096	0.1962	0.0584	0.1451	
PSHWT, vs. WBOC,	0.0097	0.067	0.0097	0.0402	0.1134	-0.0171	0.0561	
PSHWT, vs. WBWC,	0.007	0.0657	0.007	0.0356	0.1127	-0.0232	0.0539	
QBB2, vs. QBOC,	0.0745	0.1297	0.0745	0.0959	0.1703	0.0407	0.1151	
QBB2, vs. QBWC,	0.0735	0.1305	0.0735	0.0977	0.1703	0.0407	0.1133	
QBB2, vs. WBB2,	0.0152	0.0713	0.0152	0.0433	0.1171	-0.0127	0.061	
QBB2, vs. WBOC,	0.072	0.1235	0.072	0.0906	0.1757	0.039	0.1242	
QBB2, vs. WBWC,	0.0731	0.1257	0.0731	0.091	0.1664	0.0384	0.1138	
QBOC, vs. QBWC,	0.0034	0.0592	0.0034	0.0382	0.0877	-0.0175	0.032	
QBOC, vs. WBB2,	0.1041	0.1481	0.1041	0.1183	0.186	0.0743	0.1421	
QBOC, vs. WBOC,	0.008	0.0583	0.008	0.0336	0.0922	-0.0166	0.042	
QBOC, vs. WBWC,	0.0033	0.0553	0.0033	0.0326	0.0879	-0.0193	0.0359	
QBWC, vs. WBB2,	0.1054	0.151	0.1054	0.12	0.1934	0.0744	0.1478	
QBWC, vs. WBOC,	0.0115	0.0629	0.0115	0.0406	0.1007	-0.0108	0.0493	
