loci	H_st	D_st	G_st	G_hed_st	D_jost	
Locus1	0.034	0.0129	0.0203	0.0584	0.0388	
Locus2	0.0172	0.0071	0.012	0.0315	0.0197	
Locus3	0.0184	0.0086	0.016	0.0366	0.021	
Locus4	0.0181	0.0068	0.0107	0.0312	0.0206	
Locus5	0.0269	0.0105	0.017	0.0473	0.0308	
Locus6	0.0638	0.0281	0.0478	0.1172	0.0729	
Locus7	0.0157	0.006	0.0095	0.0273	0.018	
Locus8	0.0171	0.0078	0.0141	0.0333	0.0195	
Locus9	0.031	0.0119	0.0189	0.0537	0.0355	
Locus10	0.0742	0.0341	0.0592	0.139	0.0848	
Locus11	0.0332	0.0128	0.0203	0.0576	0.038	
Locus12	0.019	0.0071	0.0113	0.0328	0.0218	
Locus13	0.0329	0.0129	0.0208	0.0576	0.0376	
Locus14	0.0275	0.0131	0.0243	0.055	0.0315	
Locus15	0.0171	0.0071	0.0121	0.0314	0.0195	
Locus16	0.0058	0.0025	0.0044	0.0109	0.0066	
Locus17	0.0208	0.009	0.0156	0.039	0.0237	
Locus18	0.0546	0.0197	0.03	0.0905	0.0624	
Locus19	0.0591	0.0253	0.0425	0.1072	0.0676	
Locus20	0.033	0.0142	0.0243	0.061	0.0377	
Locus21	0.0461	0.0192	0.0319	0.083	0.0527	
Locus22	0.0289	0.0135	0.0248	0.0571	0.033	
Locus23	0.0107	0.0051	0.0096	0.0217	0.0122	
Locus24	0.0408	0.0152	0.0236	0.0691	0.0467	
Locus25	0.0365	0.0159	0.0274	0.0679	0.0417	
Locus26	0.0111	0.0052	0.0096	0.0221	0.0127	
Locus27	0.0371	0.0155	0.0261	0.0673	0.0424	
Locus28	0.0209	0.0092	0.0161	0.0396	0.0239	
Locus29	0.0518	0.0197	0.0309	0.0883	0.0592	
Locus30	0.0063	0.0026	0.0045	0.0117	0.0072	
Locus31	0.0218	0.0102	0.019	0.0434	0.0249	
Locus32	0.0377	0.0138	0.0212	0.0634	0.0431	
Locus33	0.0104	0.0045	0.008	0.0197	0.0118	
Locus34	0.0839	0.034	0.0541	0.1447	0.0958	
Locus35	0.051	0.0208	0.034	0.0903	0.0582	
Locus36	0.0804	0.0343	0.0565	0.1432	0.0919	
Locus37	0.0509	0.0191	0.0296	0.086	0.0582	
Locus38	0.0412	0.0195	0.0355	0.081	0.0471	
Locus39	0.0329	0.0127	0.0202	0.057	0.0376	
Locus40	0.0114	0.0053	0.0098	0.0227	0.013	
Locus41	0.0298	0.0135	0.0242	0.0574	0.034	
Locus42	0.0364	0.0136	0.0213	0.062	0.0416	
Locus43	0.1056	0.043	0.0677	0.1802	0.1206	
Locus44	0.0273	0.0129	0.0238	0.0543	0.0312	
Locus45	0.0081	0.0036	0.0065	0.0157	0.0092	
Locus46	0.0323	0.0126	0.0202	0.0563	0.0369	
Locus47	0.0303	0.0137	0.0244	0.0582	0.0347	
Locus48	0.0254	0.0117	0.0214	0.0498	0.029	
Locus49	0.0126	0.0049	0.008	0.0223	0.0144	
Locus50	0.0198	0.0094	0.0177	0.0399	0.0226	
Locus51	0.1182	0.0514	0.0833	0.2072	0.1351	
Locus52	0.0088	0.0041	0.0076	0.0175	0.01	
Locus53	0.0378	0.0146	0.0233	0.0655	0.0432	
Locus54	0.034	0.0126	0.0195	0.0577	0.0389	
Locus55	0.0368	0.0149	0.0246	0.0656	0.042	
Locus56	0.0161	0.0062	0.01	0.0281	0.0184	
Locus57	0.0229	0.0106	0.0194	0.045	0.0261	
Locus58	0.0282	0.0132	0.0241	0.0555	0.0322	
Locus59	0.0048	0.0022	0.0042	0.0097	0.0055	
Locus60	0.031	0.0142	0.0257	0.0602	0.0354	
Locus61	0.0308	0.012	0.0194	0.0539	0.0352	
Locus62	0.0245	0.0114	0.0208	0.0483	0.028	
Locus63	0.0429	0.0163	0.0256	0.0734	0.0491	
Locus64	0.0204	0.0097	0.0183	0.0412	0.0233	
Locus65	0.0217	0.0081	0.0128	0.0372	0.0248	
Locus66	0.0529	0.0217	0.0354	0.0938	0.0605	
Locus67	0.0144	0.0058	0.0097	0.026	0.0164	
Locus68	0.0233	0.0093	0.0153	0.0414	0.0266	
Locus69	0.0871	0.0332	0.051	0.1455	0.0996	
Locus70	0.013	0.0058	0.0105	0.0252	0.0148	
Locus71	0.0107	0.0049	0.0089	0.021	0.0122	
Locus72	0.0552	0.0211	0.0332	0.0941	0.063	
Locus73	0.0271	0.0103	0.0162	0.0467	0.031	
Locus74	0.0103	0.004	0.0064	0.0181	0.0118	
Locus75	0.0525	0.0222	0.0371	0.0949	0.06	
Locus76	0.0346	0.0159	0.0284	0.0669	0.0396	
Locus77	0.0143	0.0063	0.0113	0.0274	0.0163	
Locus78	0.0843	0.0332	0.052	0.1433	0.0963	
Locus79	0.0288	0.011	0.0175	0.0498	0.0329	
Locus80	0.0157	0.0066	0.0113	0.029	0.0179	
Locus81	0.0582	0.0218	0.0337	0.0979	0.0665	
Locus82	0.0096	0.0044	0.008	0.019	0.011	
Locus83	0.117	0.05	0.0803	0.2033	0.1338	
Locus84	0.0678	0.0263	0.0412	0.1154	0.0775	
Locus85	0.0456	0.0193	0.0323	0.0827	0.0521	
Locus86	0.0206	0.0091	0.0159	0.0391	0.0235	
Locus87	0.0251	0.0102	0.0169	0.045	0.0287	
Locus88	0.0699	0.0307	0.0518	0.1276	0.0799	
Locus89	0.0211	0.0097	0.0175	0.0412	0.0242	
Locus90	0.0164	0.0074	0.0132	0.0317	0.0187	
Locus91	0.0707	0.0275	0.0429	0.1203	0.0808	
Locus92	0.0261	0.011	0.0186	0.0478	0.0298	
Locus93	0.0274	0.0098	0.0151	0.0459	0.0313	
Locus94	0.0243	0.011	0.0198	0.0469	0.0277	
Locus95	0.0335	0.0149	0.026	0.0633	0.0383	
Locus96	0.0645	0.0267	0.0436	0.1141	0.0737	
Locus97	0.0461	0.0202	0.0348	0.0857	0.0527	
Locus98	0.0206	0.0082	0.0135	0.0367	0.0236	
Locus99	0.0876	0.0334	0.0513	0.1462	0.1001	
Locus100	0.0436	0.0163	0.0253	0.0739	0.0498	
Locus101	0.0403	0.0158	0.0252	0.0701	0.046	
Locus102	0.0738	0.0305	0.0495	0.1297	0.0844	
Locus103	0.0279	0.0115	0.0192	0.0505	0.0319	
Locus104	0.028	0.012	0.0207	0.052	0.032	
Locus105	0.022	0.0084	0.0135	0.0383	0.0251	
Locus106	0.0182	0.008	0.014	0.0345	0.0207	
Locus107	0.0514	0.0231	0.0404	0.0967	0.0587	
Locus108	0.0258	0.0114	0.0201	0.049	0.0295	
Locus109	0.0297	0.012	0.0199	0.0531	0.0339	
Locus110	0.0195	0.0085	0.0149	0.0368	0.0223	
Locus111	0.0141	0.0066	0.0121	0.028	0.0161	
Locus112	0.0241	0.0101	0.0171	0.0442	0.0275	
Locus113	0.0599	0.0239	0.0383	0.1041	0.0684	
Locus114	0.0287	0.0122	0.0206	0.0528	0.0328	
Locus115	0.0575	0.0277	0.0509	0.1133	0.0657	
Locus116	0.0202	0.0093	0.0171	0.0398	0.0231	
Locus117	0.0629	0.0271	0.0455	0.1141	0.0719	
Locus118	0.0874	0.0361	0.0579	0.1521	0.0999	
Locus119	0.0149	0.007	0.0129	0.0297	0.0171	
Locus120	0.0238	0.0108	0.0195	0.0462	0.0272	
Locus121	0.0264	0.0101	0.0161	0.0458	0.0301	
Locus122	0.1072	0.0481	0.0802	0.1928	0.1225	
Locus123	0.0662	0.0262	0.0416	0.1142	0.0757	
Locus124	0.0152	0.0073	0.0138	0.0309	0.0174	
Locus125	0.0157	0.0069	0.0121	0.0298	0.0179	
Locus126	0.0332	0.0124	0.0195	0.0566	0.0379	
Locus127	0.0479	0.021	0.0362	0.089	0.0547	
Locus128	0.076	0.0287	0.044	0.127	0.0868	
Locus129	0.0195	0.008	0.0135	0.0355	0.0223	
Locus130	0.0441	0.016	0.0245	0.0737	0.0504	
Locus131	0.015	0.007	0.0131	0.03	0.0172	
Locus132	0.0128	0.0059	0.0108	0.0252	0.0146	
Locus133	0.0331	0.0131	0.0212	0.0582	0.0378	
Locus134	0.0098	0.0046	0.0085	0.0195	0.0112	
Locus135	0.0417	0.0177	0.0298	0.076	0.0477	
Locus136	0.0414	0.0158	0.0248	0.071	0.0473	
Locus137	0.0253	0.0098	0.0157	0.0441	0.0289	
Locus138	0.0334	0.012	0.0184	0.0559	0.0382	
Locus139	0.0232	0.0105	0.0188	0.0448	0.0265	
Locus140	0.0259	0.0102	0.0166	0.0457	0.0296	
Locus141	0.0111	0.0052	0.0097	0.0223	0.0127	
Locus142	0.0335	0.0135	0.0222	0.0596	0.0383	
Locus143	0.0354	0.0151	0.0256	0.065	0.0404	
Locus144	0.0307	0.0117	0.0185	0.053	0.0351	
Locus145	0.0396	0.0152	0.024	0.0682	0.0453	
Locus146	0.0458	0.0172	0.0269	0.0779	0.0524	
Locus147	0.026	0.0119	0.0216	0.0506	0.0297	
Locus148	0.1144	0.046	0.0715	0.1928	0.1307	
Locus149	0.0597	0.0236	0.0375	0.1032	0.0683	
Locus150	0.031	0.0114	0.0177	0.0525	0.0354	
Locus151	0.0111	0.0052	0.0096	0.0221	0.0126	
Locus152	0.0334	0.0123	0.019	0.0565	0.0382	
Locus153	0.0216	0.0103	0.0192	0.0435	0.0247	
Locus154	0.0403	0.0147	0.0227	0.0677	0.0461	
Locus155	0.0355	0.0133	0.0209	0.0606	0.0406	
Locus156	0.018	0.0079	0.014	0.0342	0.0205	
Locus157	0.008	0.0039	0.0075	0.0165	0.0091	
Locus158	0.0418	0.0162	0.0258	0.0723	0.0477	
Locus159	0.0131	0.006	0.0111	0.0258	0.0149	
Locus160	0.0301	0.0134	0.0236	0.0572	0.0344	
Locus161	0.0215	0.0098	0.0177	0.0418	0.0245	
Locus162	0.0316	0.0133	0.0224	0.0577	0.0361	
Locus163	0.0345	0.0138	0.0224	0.061	0.0395	
Locus164	0.0086	0.004	0.0074	0.0172	0.0099	
Locus165	0.0161	0.0069	0.0119	0.0301	0.0184	
Locus166	0.0446	0.0196	0.0338	0.083	0.051	
Locus167	0.0347	0.0156	0.0274	0.066	0.0397	
Locus168	0.0151	0.0069	0.0126	0.0297	0.0173	
Locus169	0.0253	0.0117	0.0214	0.0497	0.029	
Locus170	0.0118	0.0052	0.0092	0.0226	0.0135	
Locus171	0.0369	0.0139	0.0218	0.0631	0.0422	
Locus172	0.0142	0.0066	0.0123	0.0283	0.0162	
Locus173	0.0439	0.0169	0.0269	0.0757	0.0501	
Locus174	0.0278	0.0131	0.0241	0.0551	0.0317	
Locus175	0.0456	0.0168	0.0259	0.0766	0.0521	
Locus176	0.0294	0.0124	0.0209	0.0538	0.0335	
Locus177	0.0753	0.0354	0.0625	0.1433	0.0861	
Locus178	0.0299	0.0107	0.0164	0.05	0.0341	
Locus179	0.0229	0.0098	0.0169	0.0426	0.0262	
Locus180	0.0401	0.0154	0.0244	0.0692	0.0459	
Locus181	0.0173	0.0076	0.0135	0.0329	0.0197	
Locus182	0.0547	0.0208	0.0324	0.0928	0.0625	
Locus183	0.041	0.0174	0.0293	0.0747	0.0468	
