loci	Harmonic_N	H_st_est	D_st_est	G_st_est	G_hed_st_est	D_Jost_est	Fst_WC	Fit_WC	
Locus1	11.1314	-0.0363	-0.0127	-0.0199	-0.0622	-0.0415	0.0056	-0.5719	
Locus2	11.1314	-0.0437	-0.0169	-0.0283	-0.0797	-0.0499	-0.002	-0.6671	
Locus3	11.1314	-0.0299	-0.0133	-0.0245	-0.0596	-0.0342	0.0067	-0.7226	
Locus4	11.1314	-0.0547	-0.0189	-0.0297	-0.0941	-0.0625	-0.0064	-0.5793	
Locus5	11.1314	-0.04	-0.0145	-0.0233	-0.07	-0.0457	0.0021	-0.6155	
Locus6	11.1314	0.0123	0.0051	0.0086	0.0226	0.0141	0.0403	-0.7004	
Locus7	11.1314	-0.056	-0.0196	-0.0311	-0.0971	-0.064	-0.0088	-0.593	
Locus8	11.1314	-0.0339	-0.0146	-0.0263	-0.0661	-0.0388	0.0085	-0.8005	
Locus9	11.1314	-0.0381	-0.0135	-0.0214	-0.0658	-0.0435	0.0017	-0.5847	
Locus10	11.1314	0.0272	0.0118	0.0204	0.0509	0.0311	0.061	-0.7272	
Locus11	11.1314	-0.0355	-0.0126	-0.0199	-0.0613	-0.0405	0.0041	-0.5876	
Locus12	11.1314	-0.0538	-0.0186	-0.0292	-0.0926	-0.0615	-0.0067	-0.5598	
Locus13	11.1314	-0.0333	-0.0121	-0.0194	-0.0581	-0.038	0.0037	-0.5335	
Locus14	11.1314	-0.0189	-0.0085	-0.0157	-0.0376	-0.0215	0.0129	-0.7203	
Locus15	11.1314	-0.043	-0.0168	-0.0283	-0.0789	-0.0492	3e-04	-0.6936	
Locus16	11.1314	-0.0519	-0.021	-0.0365	-0.0981	-0.0594	-0.0086	-0.7089	
Locus17	11.1314	-0.0352	-0.0143	-0.0247	-0.0659	-0.0402	0.0057	-0.7413	
Locus18	11.1314	-0.0196	-0.0065	-0.0098	-0.0324	-0.0224	0.0133	-0.495	
Locus19	11.1314	0.0045	0.0018	0.003	0.0081	0.0051	0.0318	-0.6004	
Locus20	11.1314	-0.0231	-0.0093	-0.0158	-0.0426	-0.0263	0.0178	-0.7049	
Locus21	11.1314	-0.0121	-0.0047	-0.0078	-0.0217	-0.0138	0.0233	-0.6472	
Locus22	11.1314	-0.0187	-0.0083	-0.0151	-0.0369	-0.0214	0.0243	-0.8263	
Locus23	11.1314	-0.0362	-0.0164	-0.0309	-0.0736	-0.0414	0.0019	-0.7853	
Locus24	11.1314	-0.0313	-0.0107	-0.0165	-0.0529	-0.0358	0.0077	-0.5475	
Locus25	11.1314	-0.0181	-0.0074	-0.0127	-0.0336	-0.0207	0.0205	-0.7071	
Locus26	11.1314	-0.0381	-0.0168	-0.031	-0.0759	-0.0436	0.0024	-0.8076	
Locus27	11.1314	-0.0212	-0.0083	-0.0138	-0.0384	-0.0242	0.0147	-0.6085	
Locus28	11.1314	-0.0337	-0.0139	-0.0242	-0.0637	-0.0385	0.0019	-0.6275	
Locus29	11.1314	-0.0162	-0.0057	-0.0089	-0.0275	-0.0185	0.0171	-0.5569	
Locus30	11.1314	-0.0547	-0.0213	-0.0362	-0.1009	-0.0625	-0.0087	-0.7073	
Locus31	11.1314	-0.0258	-0.0115	-0.0212	-0.0513	-0.0295	0.0081	-0.6781	
Locus32	11.1314	-0.037	-0.0124	-0.019	-0.0621	-0.0423	0.0024	-0.5047	
Locus33	11.1314	-0.0455	-0.0187	-0.0328	-0.0865	-0.052	-0.0048	-0.7008	
Locus34	11.1314	0.0252	0.0095	0.015	0.0434	0.0288	0.0418	-0.4884	
Locus35	11.1314	-0.0092	-0.0035	-0.0057	-0.0162	-0.0105	0.0249	-0.6205	
Locus36	11.1314	0.0268	0.0107	0.0175	0.0476	0.0306	0.0449	-0.6431	
Locus37	11.1314	-0.0194	-0.0067	-0.0103	-0.0327	-0.0222	0.0124	-0.4614	
Locus38	11.1314	-0.0049	-0.0022	-0.004	-0.0096	-0.0056	0.0263	-0.6779	
Locus39	11.1314	-0.0353	-0.0126	-0.02	-0.0612	-0.0404	0.0041	-0.5882	
Locus40	11.1314	-0.0377	-0.0166	-0.0306	-0.0749	-0.043	7e-04	-0.7565	
Locus41	11.1314	-0.021	-0.009	-0.016	-0.0404	-0.024	0.0148	-0.6767	
Locus42	11.1314	-0.0351	-0.0121	-0.0188	-0.0596	-0.0401	0.0045	-0.5592	
Locus43	11.1314	0.049	0.0186	0.0291	0.0835	0.056	0.0598	-0.4905	
Locus44	11.1314	-0.0199	-0.0089	-0.0163	-0.0395	-0.0228	0.0231	-0.8422	
Locus45	11.1314	-0.0449	-0.019	-0.0341	-0.0871	-0.0513	-0.0017	-0.8026	
Locus46	11.1314	-0.0346	-0.0125	-0.0199	-0.0603	-0.0396	0.0058	-0.596	
Locus47	11.1314	-0.0209	-0.0089	-0.0158	-0.04	-0.0239	0.0152	-0.7508	
Locus48	11.1314	-0.0238	-0.0104	-0.0188	-0.0465	-0.0272	0.0133	-0.7139	
Locus49	11.1314	-0.0554	-0.0201	-0.0326	-0.098	-0.0634	-0.0081	-0.6307	
Locus50	11.1314	-0.0267	-0.0121	-0.0226	-0.0539	-0.0306	0.0078	-0.7034	
Locus51	11.1314	0.0689	0.0281	0.0453	0.1205	0.0787	0.0812	-0.5749	
Locus52	11.1314	-0.041	-0.018	-0.0332	-0.0815	-0.0468	-0.0052	-0.7086	
Locus53	11.1314	-0.0299	-0.0107	-0.0169	-0.0517	-0.0342	0.0072	-0.5341	
Locus54	11.1314	-0.0394	-0.0134	-0.0207	-0.0667	-0.0451	0.002	-0.5485	
Locus55	11.1314	-0.0251	-0.0095	-0.0155	-0.0447	-0.0287	0.0105	-0.5791	
Locus56	11.1314	-0.0537	-0.0191	-0.0306	-0.0938	-0.0613	-0.0068	-0.6083	
Locus57	11.1314	-0.026	-0.0114	-0.0207	-0.0511	-0.0297	0.0128	-0.7576	
Locus58	11.1314	-0.0199	-0.0088	-0.016	-0.0391	-0.0228	0.0138	-0.7102	
Locus59	11.1314	-0.0445	-0.0197	-0.0366	-0.0894	-0.0509	-0.0016	-0.8638	
Locus60	11.1314	-0.0184	-0.008	-0.0143	-0.0357	-0.0211	0.015	-0.6655	
Locus61	11.1314	-0.0359	-0.013	-0.0208	-0.0627	-0.041	0.0047	-0.6061	
Locus62	11.1314	-0.0244	-0.0107	-0.0194	-0.0478	-0.0279	0.0101	-0.6799	
Locus63	11.1314	-0.0262	-0.0092	-0.0144	-0.0448	-0.03	0.0057	-0.4948	
Locus64	11.1314	-0.0261	-0.0118	-0.022	-0.0525	-0.0298	0.0093	-0.7192	
Locus65	11.1314	-0.0515	-0.0177	-0.0277	-0.0882	-0.0589	-0.005	-0.5724	
Locus66	11.1314	-0.0068	-0.0026	-0.0042	-0.012	-0.0078	0.025	-0.6288	
Locus67	11.1314	-0.0492	-0.0186	-0.0308	-0.0888	-0.0562	-0.0038	-0.6665	
Locus68	11.1314	-0.0414	-0.0154	-0.0251	-0.0737	-0.0474	7e-04	-0.6149	
Locus69	11.1314	0.0221	0.0078	0.0119	0.0369	0.0253	0.0368	-0.5241	
Locus70	11.1314	-0.0393	-0.0167	-0.0299	-0.0762	-0.0449	0.0032	-0.8015	
Locus71	11.1314	-0.0402	-0.0174	-0.0316	-0.079	-0.0459	0.0013	-0.7934	
Locus72	11.1314	-0.0119	-0.0042	-0.0065	-0.0202	-0.0135	0.0158	-0.4926	
Locus73	11.1314	-0.0438	-0.0153	-0.0241	-0.0754	-0.0501	-0.0028	-0.5588	
Locus74	11.1314	-0.0597	-0.0213	-0.0343	-0.1048	-0.0682	-0.0107	-0.616	
Locus75	11.1314	-0.0038	-0.0015	-0.0025	-0.0068	-0.0043	0.03	-0.66	
Locus76	11.1314	-0.015	-0.0065	-0.0116	-0.029	-0.0172	0.0216	-0.7114	
Locus77	11.1314	-0.0395	-0.0165	-0.0292	-0.0756	-0.0451	0.002	-0.7391	
Locus78	11.1314	0.0227	0.0083	0.0129	0.0385	0.0259	0.0449	-0.5511	
Locus79	11.1314	-0.0411	-0.0145	-0.0229	-0.071	-0.047	0.0016	-0.5849	
Locus80	11.1314	-0.0436	-0.0172	-0.0293	-0.0805	-0.0498	-0.0054	-0.6065	
Locus81	11.1314	-0.0113	-0.0039	-0.006	-0.019	-0.0129	0.0169	-0.467	
Locus82	11.1314	-0.0418	-0.018	-0.0327	-0.082	-0.0477	2e-04	-0.7969	
Locus83	11.1314	0.0662	0.0265	0.0423	0.1148	0.0756	0.0764	-0.5982	
Locus84	11.1314	0.0031	0.0011	0.0017	0.0052	0.0035	0.0293	-0.5404	
Locus85	11.1314	-0.0111	-0.0044	-0.0073	-0.0201	-0.0127	0.025	-0.6677	
Locus86	11.1314	-0.0336	-0.0139	-0.0243	-0.0636	-0.0384	0.0029	-0.6732	
Locus87	11.1314	-0.0376	-0.0142	-0.0234	-0.0673	-0.0429	-8e-04	-0.5755	
Locus88	11.1314	0.0184	0.0076	0.0128	0.0336	0.0211	0.0395	-0.5305	
Locus89	11.1314	-0.0292	-0.0126	-0.0227	-0.0568	-0.0334	0.0106	-0.7947	
Locus90	11.1314	-0.0358	-0.0152	-0.0271	-0.0692	-0.0409	0.0053	-0.751	
Locus91	11.1314	0.0061	0.0022	0.0034	0.0104	0.007	0.0319	-0.5356	
Locus92	11.1314	-0.0328	-0.0129	-0.0217	-0.06	-0.0375	0.0068	-0.6557	
Locus93	11.1314	-0.0506	-0.0166	-0.0253	-0.0846	-0.0578	-0.005	-0.5145	
Locus94	11.1314	-0.0268	-0.0115	-0.0205	-0.0518	-0.0307	0.0073	-0.7012	
Locus95	11.1314	-0.0194	-0.0081	-0.0141	-0.0366	-0.0222	0.0198	-0.7033	
Locus96	11.1314	0.0067	0.0026	0.0042	0.0119	0.0077	0.0354	-0.6149	
Locus97	11.1314	-0.007	-0.0029	-0.005	-0.013	-0.008	0.0229	-0.5729	
Locus98	11.1314	-0.0449	-0.0166	-0.0271	-0.0797	-0.0513	-2e-04	-0.6351	
Locus99	11.1314	0.0227	0.008	0.0122	0.0378	0.0259	0.0411	-0.5255	
Locus100	11.1314	-0.0276	-0.0095	-0.0147	-0.0467	-0.0315	0.0037	-0.4475	
Locus101	11.1314	-0.0256	-0.0093	-0.0148	-0.0445	-0.0293	0.0107	-0.5998	
Locus102	11.1314	0.0166	0.0064	0.0103	0.0291	0.0189	0.0349	-0.5495	
Locus103	11.1314	-0.0327	-0.0126	-0.0209	-0.0591	-0.0374	0.006	-0.661	
Locus104	11.1314	-0.0283	-0.0114	-0.0195	-0.0524	-0.0323	0.0107	-0.6879	
Locus105	11.1314	-0.048	-0.017	-0.027	-0.0834	-0.0549	-0.0029	-0.5775	
Locus106	11.1314	-0.0365	-0.0151	-0.0264	-0.0693	-0.0418	0.0042	-0.7414	
Locus107	11.1314	0.0012	5e-04	9e-04	0.0022	0.0013	0.0344	-0.6921	
Locus108	11.1314	-0.0276	-0.0115	-0.0201	-0.0523	-0.0316	0.0121	-0.7605	
Locus109	11.1314	-0.0328	-0.0124	-0.0203	-0.0586	-0.0375	0.0044	-0.6509	
Locus110	11.1314	-0.0355	-0.0146	-0.0254	-0.067	-0.0406	0.0062	-0.7474	
Locus111	11.1314	-0.035	-0.0154	-0.0283	-0.0694	-0.04	0.002	-0.7403	
Locus112	11.1314	-0.0351	-0.0138	-0.0233	-0.0643	-0.0402	8e-04	-0.5945	
Locus113	11.1314	-0.0019	-7e-04	-0.0011	-0.0033	-0.0022	0.0248	-0.5768	
Locus114	11.1314	-0.0293	-0.0116	-0.0196	-0.0537	-0.0335	0.004	-0.5391	
Locus115	11.1314	0.0142	0.0065	0.0119	0.0279	0.0162	0.0478	-0.714	
Locus116	11.1314	-0.0293	-0.0128	-0.0232	-0.0575	-0.0335	0.0078	-0.7254	
Locus117	11.1314	0.0092	0.0037	0.0062	0.0166	0.0105	0.0368	-0.6743	
Locus118	11.1314	0.0311	0.012	0.0191	0.0541	0.0356	0.0452	-0.4294	
Locus119	11.1314	-0.034	-0.015	-0.0276	-0.0675	-0.0389	0.0041	-0.7419	
Locus120	11.1314	-0.0273	-0.0117	-0.0209	-0.0528	-0.0312	0.0125	-0.7305	
Locus121	11.1314	-0.0432	-0.0153	-0.0243	-0.0748	-0.0493	0.0011	-0.5902	
Locus122	11.1314	0.0601	0.0254	0.0421	0.1079	0.0687	0.0777	-0.6601	
Locus123	11.1314	0.0038	0.0014	0.0022	0.0065	0.0043	0.0272	-0.5665	
Locus124	11.1314	-0.0315	-0.0143	-0.0269	-0.0639	-0.0361	0.0042	-0.7186	
Locus125	11.1314	-0.0397	-0.0163	-0.0285	-0.0751	-0.0453	0.0013	-0.7178	
Locus126	11.1314	-0.0385	-0.0133	-0.0207	-0.0657	-0.044	0.0029	-0.5638	
Locus127	11.1314	-0.0051	-0.0021	-0.0036	-0.0094	-0.0058	0.0266	-0.7234	
Locus128	11.1314	0.0086	0.003	0.0046	0.0144	0.0099	0.0282	-0.5125	
Locus129	11.1314	-0.0418	-0.0161	-0.0269	-0.076	-0.0478	0.0017	-0.6779	
Locus130	11.1314	-0.0306	-0.0102	-0.0155	-0.0511	-0.035	0.0062	-0.4769	
Locus131	11.1314	-0.0333	-0.0148	-0.0274	-0.0665	-0.0381	0.0017	-0.721	
Locus132	11.1314	-0.0372	-0.0162	-0.0296	-0.0733	-0.0425	0.0032	-0.7922	
Locus133	11.1314	-0.0322	-0.0118	-0.019	-0.0564	-0.0367	0.0074	-0.613	
Locus134	11.1314	-0.0394	-0.0174	-0.0322	-0.0786	-0.045	4e-04	-0.7906	
Locus135	11.1314	-0.0151	-0.006	-0.01	-0.0275	-0.0173	0.0133	-0.5316	
Locus136	11.1314	-0.0276	-0.0097	-0.0152	-0.0472	-0.0315	0.0085	-0.5695	
Locus137	11.1314	-0.0429	-0.0154	-0.0246	-0.0749	-0.0491	-0.0013	-0.583	
Locus138	11.1314	-0.0434	-0.0143	-0.0218	-0.0724	-0.0496	-8e-04	-0.5135	
Locus139	11.1314	-0.0284	-0.0121	-0.0216	-0.0547	-0.0324	0.0061	-0.6437	
Locus140	11.1314	-0.0402	-0.0147	-0.0237	-0.0707	-0.0459	0.0018	-0.6274	
Locus141	11.1314	-0.0373	-0.0166	-0.0308	-0.0748	-0.0427	0.0043	-0.8237	
Locus142	11.1314	-0.0293	-0.011	-0.0179	-0.052	-0.0335	0.0039	-0.512	
Locus143	11.1314	-0.0213	-0.0085	-0.0144	-0.039	-0.0243	0.0112	-0.5937	
Locus144	11.1314	-0.0392	-0.0138	-0.0217	-0.0676	-0.0449	0.002	-0.562	
Locus145	11.1314	-0.0289	-0.0102	-0.016	-0.0495	-0.033	0.0083	-0.5425	
Locus146	11.1314	-0.0242	-0.0084	-0.013	-0.0411	-0.0277	0.0075	-0.4654	
Locus147	11.1314	-0.0237	-0.0103	-0.0185	-0.0462	-0.0271	0.011	-0.6579	
Locus148	11.1314	0.0572	0.0214	0.0331	0.0963	0.0654	0.059	-0.439	
Locus149	11.1314	-0.0038	-0.0014	-0.0022	-0.0066	-0.0044	0.0257	-0.5809	
Locus150	11.1314	-0.0436	-0.0147	-0.0227	-0.0736	-0.0498	9e-04	-0.5483	
Locus151	11.1314	-0.0381	-0.0168	-0.031	-0.0759	-0.0435	0.0036	-0.8265	
Locus152	11.1314	-0.041	-0.0138	-0.0212	-0.0691	-0.0468	4e-04	-0.5248	
Locus153	11.1314	-0.0251	-0.0113	-0.021	-0.0503	-0.0287	0.009	-0.7512	
Locus154	11.1314	-0.034	-0.0114	-0.0174	-0.057	-0.0389	0.0037	-0.5188	
Locus155	11.1314	-0.0355	-0.0123	-0.0192	-0.0605	-0.0405	0.002	-0.5092	
Locus156	11.1314	-0.0364	-0.0151	-0.0265	-0.0692	-0.0416	0.0037	-0.7174	
Locus157	11.1314	-0.0376	-0.0173	-0.0331	-0.0775	-0.0429	-0.0022	-0.7673	
Locus158	11.1314	-0.0251	-0.009	-0.0142	-0.0433	-0.0287	0.0103	-0.5885	
Locus159	11.1314	-0.0372	-0.0162	-0.0295	-0.0733	-0.0425	0.0038	-0.7941	
Locus160	11.1314	-0.0224	-0.0094	-0.0165	-0.0425	-0.0256	0.0157	-0.6968	
Locus161	11.1314	-0.0293	-0.0126	-0.0226	-0.0568	-0.0334	0.0129	-0.7967	
Locus162	11.1314	-0.0267	-0.0105	-0.0176	-0.0487	-0.0305	0.0131	-0.6875	
Locus163	11.1314	-0.0297	-0.011	-0.0178	-0.0523	-0.0339	0.0023	-0.4762	
Locus164	11.1314	-0.0411	-0.018	-0.0331	-0.0816	-0.047	0.0018	-0.8482	
Locus165	11.1314	-0.0416	-0.0167	-0.0287	-0.0776	-0.0475	-0.0037	-0.6149	
Locus166	11.1314	-0.0085	-0.0035	-0.006	-0.0157	-0.0097	0.0217	-0.6296	
Locus167	11.1314	-0.0168	-0.0071	-0.0124	-0.0319	-0.0192	0.0201	-0.7255	
Locus168	11.1314	-0.0356	-0.0154	-0.0279	-0.0697	-0.0406	0.0058	-0.7972	
Locus169	11.1314	-0.0238	-0.0104	-0.0188	-0.0465	-0.0272	0.0129	-0.7421	
Locus170	11.1314	-0.043	-0.0178	-0.0313	-0.082	-0.0491	-0.0071	-0.6127	
Locus171	11.1314	-0.0337	-0.0117	-0.0183	-0.0575	-0.0385	0.0044	-0.5585	
Locus172	11.1314	-0.0344	-0.0152	-0.028	-0.0684	-0.0393	0.005	-0.789	
Locus173	11.1314	-0.0232	-0.0083	-0.0131	-0.04	-0.0265	0.0074	-0.4526	
Locus174	11.1314	-0.0195	-0.0087	-0.0159	-0.0386	-0.0223	0.0172	-0.7881	
Locus175	11.1314	-0.0271	-0.0092	-0.0141	-0.0456	-0.031	0.0082	-0.5363	
Locus176	11.1314	-0.0289	-0.0114	-0.0192	-0.0529	-0.033	0.0103	-0.6647	
Locus177	11.1314	0.0306	0.0136	0.0239	0.058	0.0349	0.0539	-0.6961	
Locus178	11.1314	-0.0479	-0.0157	-0.0239	-0.0799	-0.0547	-0.002	-0.53	
Locus179	11.1314	-0.0341	-0.0137	-0.0234	-0.0633	-0.039	0.0029	-0.6369	
Locus180	11.1314	-0.0281	-0.01	-0.0158	-0.0484	-0.0322	0.0106	-0.5809	
Locus181	11.1314	-0.0371	-0.0154	-0.027	-0.0706	-0.0424	-0.0011	-0.6588	
Locus182	11.1314	-0.0137	-0.0048	-0.0074	-0.0232	-0.0157	0.0156	-0.5377	
Locus183	11.1314	-0.0159	-0.0063	-0.0106	-0.0289	-0.0181	0.0174	-0.5899	
Locus184	11.1314	-0.0043	-0.0019	-0.0034	-0.0084	-0.005	0.0344	-0.7814	
Locus185	11.1314	-0.0313	-0.0138	-0.0253	-0.062	-0.0357	0.0081	-0.789	
Locus186	11.1314	-3e-04	-1e-04	-2e-04	-5e-04	-3e-04	0.0221	-0.4925	
Locus187	11.1314	-0.0355	-0.0151	-0.027	-0.0687	-0.0406	0.0064	-0.8009	
Locus188	11.1314	-0.0225	-0.0075	-0.0114	-0.0374	-0.0257	0.0105	-0.5043	
Locus189	11.1314	-0.0477	-0.0173	-0.0279	-0.084	-0.0545	-0.0036	-0.6002	
Locus190	11.1314	-0.0446	-0.0181	-0.0314	-0.084	-0.051	-0.0051	-0.6607	
Locus191	11.1314	-0.0295	-0.01	-0.0154	-0.0496	-0.0337	0.0086	-0.5238	
Locus192	11.1314	-0.0274	-0.0125	-0.0235	-0.0556	-0.0313	0.0128	-0.8194	
Locus193	11.1314	-0.0504	-0.0195	-0.0329	-0.0923	-0.0576	-0.0096	-0.6147	
Locus194	11.1314	-0.031	-0.01	-0.015	-0.0509	-0.0354	0.0049	-0.501	
Locus195	11.1314	-0.0255	-0.0111	-0.02	-0.0498	-0.0292	0.0068	-0.6519	
Locus196	11.1314	-0.0218	-0.009	-0.0156	-0.0409	-0.0249	0.0175	-0.7252	
Locus197	11.1314	-0.0412	-0.0171	-0.0301	-0.0786	-0.0471	-0.0072	-0.5913	
Locus198	11.1314	-0.0409	-0.0184	-0.0346	-0.0829	-0.0467	-0.0036	-0.769	
Locus199	11.1314	-0.0463	-0.0174	-0.0287	-0.0831	-0.0529	-0.0025	-0.659	
Locus200	11.1314	0.032	0.0118	0.0183	0.0543	0.0366	0.048	-0.4936	
Locus201	11.1314	-0.0349	-0.0158	-0.0297	-0.0708	-0.0399	2e-04	-0.7194	
Locus202	11.1314	-0.0136	-0.0056	-0.0096	-0.0253	-0.0156	0.0213	-0.6901	
Locus203	11.1314	-0.0322	-0.0146	-0.0274	-0.0653	-0.0368	0.0014	-0.7028	
Locus204	11.1314	-0.0229	-0.0106	-0.0202	-0.0468	-0.0261	0.0113	-0.7148	
Locus205	11.1314	-0.0341	-0.0156	-0.0296	-0.0697	-0.039	4e-04	-0.7338	
Locus206	11.1314	-0.0392	-0.0158	-0.0272	-0.0732	-0.0448	0.0021	-0.7154	
Locus207	11.1314	-0.0335	-0.012	-0.019	-0.0581	-0.0383	0.0044	-0.592	
Locus208	11.1314	-0.0072	-0.0029	-0.0049	-0.0132	-0.0083	0.0182	-0.5734	
Locus209	11.1314	-0.0452	-0.0185	-0.0324	-0.0856	-0.0516	-0.0038	-0.7147	
Locus210	11.1314	-0.0092	-0.0034	-0.0054	-0.016	-0.0105	0.014	-0.4324	
Locus211	11.1314	-0.0391	-0.0176	-0.033	-0.0792	-0.0447	-1e-04	-0.8223	
Locus212	11.1314	-0.0559	-0.0202	-0.0327	-0.0987	-0.0639	-0.0094	-0.6055	
Locus213	11.1314	-0.0156	-0.0057	-0.0091	-0.0271	-0.0179	0.0196	-0.5918	
Locus214	11.1314	0.0297	0.0126	0.0214	0.0546	0.0339	0.0604	-0.6792	
Locus215	11.1314	0.0013	5e-04	8e-04	0.0023	0.0014	0.0233	-0.4959	
Locus216	11.1314	0.0095	0.0035	0.0055	0.0163	0.0109	0.027	-0.4352	
Locus217	11.1314	-0.017	-0.0058	-0.0089	-0.0284	-0.0194	0.0121	-0.5035	
Locus218	11.1314	0.015	0.0055	0.0086	0.0256	0.0171	0.0366	-0.4724	
Locus219	11.1314	-0.0583	-0.0194	-0.0299	-0.0986	-0.0666	-0.0117	-0.5134	
Locus220	11.1314	-0.04	-0.0142	-0.0225	-0.0693	-0.0458	0.0033	-0.5869	
Locus221	11.1314	0.0249	0.0091	0.0141	0.0422	0.0285	0.043	-0.4798	
Locus222	11.1314	-0.0151	-0.0061	-0.0103	-0.0278	-0.0173	0.0229	-0.6792	
Locus223	11.1314	0.0039	0.0014	0.0022	0.0066	0.0045	0.0243	-0.537	
Locus224	11.1314	0.0171	0.0074	0.0129	0.0322	0.0196	0.045	-0.648	
Locus225	11.1314	-0.0467	-0.0193	-0.034	-0.0892	-0.0533	-0.007	-0.6987	
Locus226	11.1314	-0.0203	-0.009	-0.0164	-0.04	-0.0232	0.0135	-0.6649	
Locus227	11.1314	-0.0524	-0.0201	-0.0337	-0.0956	-0.0599	-0.0064	-0.6881	
Locus228	11.1314	-0.0571	-0.0199	-0.0315	-0.0989	-0.0653	-0.0096	-0.5945	
Locus229	11.1314	-0.0357	-0.0149	-0.0262	-0.0681	-0.0408	0.006	-0.7617	
Locus230	11.1314	-0.0154	-0.0065	-0.0114	-0.0292	-0.0176	0.0196	-0.7217	
Locus231	11.1314	-0.0323	-0.0144	-0.0267	-0.0646	-0.0369	0.0039	-0.7388	
Locus232	11.1314	-0.0346	-0.0156	-0.0293	-0.0699	-0.0395	5e-04	-0.7201	
Locus233	11.1314	-0.0456	-0.0153	-0.0236	-0.077	-0.0522	-0.0014	-0.5491	
Locus234	11.1314	-0.0129	-0.0056	-0.01	-0.0249	-0.0147	0.0198	-0.6957	
