Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus1	-0.0190	-0.0516	0.0386
Locus2	 0.0109	-0.0456	0.1150
Locus3	 0.1013	-0.0194	0.3226
Locus4	 0.0026	-0.0508	0.0744
Locus5	 0.0277	-0.0356	0.1144
Locus6	 0.1152	 0.0441	0.1981
Locus7	-0.0238	-0.0542	0.0220
Locus8	 0.0566	-0.0165	0.1659
Locus9	-0.0105	-0.0441	0.0355
Locus10	 0.1927	 0.1019	0.2869
Locus11	 0.0056	-0.0379	0.0671
Locus12	-0.0117	-0.0485	0.0330
Locus13	 0.0046	-0.0548	0.1024
Locus14	 0.0853	-0.0161	0.2462
Locus15	-0.0048	-0.0611	0.0590
Locus16	-0.0299	-0.0619	0.0267
Locus17	 0.0143	-0.0420	0.0830
Locus18	 0.0455	-0.0348	0.1697
Locus19	 0.0698	 0.0016	0.1695
Locus20	 0.0441	-0.0151	0.1223
Locus21	 0.0317	-0.0233	0.0963
Locus22	 0.1074	 0.0218	0.2054
Locus23	 0.0793	-0.0448	0.2798
Locus24	 0.0291	-0.0202	0.1031
Locus25	 0.0835	 0.0140	0.1926
Locus26	 0.0365	-0.0414	0.1656
Locus27	 0.0538	-0.0267	0.1728
Locus28	 0.0377	-0.0331	0.1515
Locus29	 0.0484	-0.0175	0.1405
Locus30	-0.0152	-0.0602	0.0598
Locus31	 0.0457	-0.0211	0.1417
Locus32	-0.0121	-0.0656	0.0735
Locus33	-0.0110	-0.0618	0.0734
Locus34	 0.1065	 0.0242	0.2010
Locus35	 0.0596	-0.0124	0.1421
Locus36	 0.0845	 0.0247	0.1610
Locus37	 0.0737	-0.0249	0.1707
Locus38	 0.0747	-0.0222	0.2194
Locus39	 0.0088	-0.0466	0.0921
Locus40	-0.0033	-0.0545	0.0954
Locus41	 0.0478	-0.0143	0.1598
Locus42	 0.0143	-0.0401	0.0862
Locus43	 0.2310	 0.1287	0.3550
Locus44	 0.1680	 0.0434	0.3532
Locus45	 0.0060	-0.0495	0.0913
Locus46	-0.0262	-0.0529	0.0181
Locus47	 0.1051	-0.0195	0.3120
Locus48	 0.0009	-0.0474	0.0766
Locus49	-0.0230	-0.0620	0.0466
Locus50	 0.0487	-0.0304	0.2718
Locus51	 0.2330	 0.1323	0.3589
Locus52	 0.0058	-0.0710	0.1204
Locus53	 0.0589	-0.0228	0.1694
Locus54	 0.0084	-0.0479	0.0880
Locus55	 0.0335	-0.0225	0.1268
Locus56	-0.0200	-0.0538	0.0324
Locus57	 0.1075	 0.0046	0.2116
Locus58	 0.0614	-0.0062	0.1645
Locus59	 0.0053	-0.0401	0.0906
Locus60	 0.1607	 0.0529	0.2761
Locus61	-0.0050	-0.0402	0.0628
Locus62	 0.0029	-0.0482	0.1035
Locus63	 0.0378	-0.0261	0.1255
Locus64	 0.1401	-0.0116	0.3486
Locus65	-0.0020	-0.0532	0.0669
Locus66	 0.0536	 0.0023	0.1170
Locus67	-0.0104	-0.0503	0.0673
Locus68	 0.0127	-0.0356	0.0944
Locus69	 0.1338	 0.0616	0.2198
Locus70	 0.0230	-0.0294	0.0990
Locus71	 0.0189	-0.0461	0.1845
Locus72	 0.0172	-0.0505	0.1044
Locus73	-0.0112	-0.0550	0.0523
Locus74	-0.0255	-0.0591	0.0225
Locus75	 0.0418	-0.0206	0.1232
Locus76	 0.2032	 0.0504	0.3874
Locus77	 0.0398	-0.0395	0.1665
Locus78	 0.0776	 0.0282	0.1559
Locus79	-0.0008	-0.0438	0.0544
Locus80	 0.0049	-0.0504	0.1085
Locus81	 0.0964	-0.0036	0.2335
Locus82	 0.0259	-0.0347	0.1382
Locus83	 0.2547	 0.1476	0.3902
Locus84	 0.0255	-0.0364	0.1293
Locus85	 0.0813	 0.0019	0.2061
Locus86	 0.0339	-0.0163	0.1054
Locus87	-0.0047	-0.0716	0.1054
Locus88	 0.1364	 0.0398	0.2562
Locus89	 0.0660	-0.0158	0.2083
Locus90	 0.0351	-0.0396	0.1517
Locus91	 0.0357	-0.0164	0.1001
Locus92	 0.0118	-0.0347	0.0939
Locus93	 0.0108	-0.0559	0.0898
Locus94	 0.0247	-0.0426	0.1375
Locus95	 0.0425	-0.0252	0.1377
Locus96	 0.0993	 0.0227	0.1919
Locus97	 0.1046	-0.0010	0.2297
Locus98	-0.0125	-0.0550	0.0597
Locus99	 0.1003	 0.0045	0.2136
Locus100	 0.0063	-0.0621	0.0954
Locus101	 0.0088	-0.0444	0.0689
Locus102	 0.1125	 0.0171	0.2172
Locus103	 0.0241	-0.0297	0.1075
Locus104	 0.0172	-0.0375	0.0815
Locus105	-0.0121	-0.0527	0.0369
Locus106	 0.0085	-0.0496	0.1358
Locus107	 0.2569	 0.0984	0.4427
Locus108	 0.0430	-0.0227	0.1185
Locus109	 0.0041	-0.0496	0.0673
Locus110	 0.0187	-0.0368	0.1152
Locus111	 0.0479	-0.0385	0.2226
Locus112	 0.0128	-0.0435	0.1359
Locus113	 0.0135	-0.0299	0.0753
Locus114	 0.0154	-0.0621	0.1212
Locus115	 0.2067	 0.0364	0.4580
Locus116	 0.0980	 0.0002	0.2280
Locus117	 0.0960	 0.0406	0.1676
Locus118	 0.1503	 0.0247	0.2753
Locus119	 0.0023	-0.0432	0.0981
Locus120	 0.1487	-0.0140	0.4082
Locus121	 0.0112	-0.0407	0.0915
Locus122	 0.2396	 0.1403	0.3438
Locus123	 0.1862	 0.0594	0.3441
Locus124	-0.0093	-0.0607	0.1109
Locus125	 0.0350	-0.0381	0.1585
Locus126	 0.0142	-0.0410	0.0944
Locus127	 0.0718	-0.0049	0.1670
Locus128	 0.0581	-0.0193	0.1435
Locus129	 0.0072	-0.0561	0.0953
Locus130	 0.0339	-0.0343	0.1368
Locus131	 0.0984	-0.0375	0.3234
Locus132	 0.0396	-0.0406	0.2168
Locus133	 0.0328	-0.0197	0.1031
Locus134	 0.0263	-0.0548	0.1688
Locus135	 0.0359	-0.0536	0.1695
Locus136	 0.0279	-0.0394	0.1079
Locus137	-0.0160	-0.0653	0.0479
Locus138	 0.0215	-0.0510	0.0968
Locus139	 0.0635	-0.0309	0.2141
Locus140	 0.0109	-0.0554	0.1210
Locus141	 0.0384	-0.0371	0.1749
Locus142	 0.0045	-0.0552	0.0967
Locus143	 0.0816	-0.0028	0.1824
Locus144	-0.0082	-0.0683	0.0779
Locus145	 0.0034	-0.0532	0.0650
Locus146	 0.0588	-0.0208	0.1772
Locus147	 0.0755	-0.0036	0.2156
Locus148	 0.2291	 0.0786	0.3676
Locus149	 0.0770	-0.0047	0.1934
Locus150	-0.0176	-0.0516	0.0407
Locus151	 0.0921	-0.0175	0.2778
Locus152	-0.0114	-0.0548	0.0602
Locus153	 0.2052	-0.0045	0.4635
Locus154	-0.0049	-0.0668	0.0869
Locus155	-0.0142	-0.0602	0.0592
Locus156	 0.0286	-0.0170	0.1012
Locus157	 0.0495	-0.0370	0.1960
Locus158	 0.0135	-0.0438	0.1143
Locus159	 0.0246	-0.0265	0.1285
Locus160	 0.0497	-0.0136	0.1182
Locus161	 0.1076	 0.0003	0.3661
Locus162	 0.0100	-0.0479	0.0782
Locus163	 0.0143	-0.0748	0.1130
Locus164	 0.0075	-0.0408	0.0991
Locus165	-0.0124	-0.0673	0.0538
Locus166	 0.1300	-0.0075	0.2847
Locus167	 0.0465	-0.0188	0.1243
Locus168	 0.0093	-0.0335	0.0872
Locus169	 0.0749	-0.0191	0.2326
Locus170	-0.0199	-0.0762	0.0859
Locus171	 0.0105	-0.0439	0.0869
Locus172	 0.0789	-0.0051	0.2142
Locus173	 0.0036	-0.0571	0.0999
Locus174	 0.0821	-0.0078	0.1889
Locus175	 0.0363	-0.0236	0.0957
Locus176	 0.0200	-0.0277	0.0865
Locus177	 0.3532	 0.2072	0.5178
Locus178	 0.0111	-0.0484	0.0885
Locus179	 0.0253	-0.0495	0.1149
Locus180	 0.0146	-0.0273	0.0832
Locus181	-0.0051	-0.0572	0.0827
Locus182	 0.0693	-0.0046	0.1824
Locus183	 0.0843	-0.0117	0.2216
Locus184	 0.1542	 0.0686	0.2426
Locus185	 0.1117	-0.0128	0.2378
Locus186	 0.0948	 0.0113	0.2121
Locus187	 0.0513	-0.0145	0.1739
Locus188	 0.0191	-0.0562	0.1325
Locus189	 0.0188	-0.0366	0.0876
Locus190	 0.0043	-0.0534	0.0993
Locus191	 0.0019	-0.0491	0.0973
Locus192	 0.1538	-0.0118	0.3906
Locus193	-0.0060	-0.0550	0.0700
Locus194	 0.0525	-0.0147	0.1356
Locus195	 0.1202	-0.0074	0.3648
Locus196	 0.0666	-0.0058	0.1902
Locus197	 0.0060	-0.0624	0.1406
Locus198	 0.0217	-0.0583	0.1674
Locus199	-0.0189	-0.0541	0.0341
Locus200	 0.2096	 0.1083	0.3331
Locus201	 0.0247	-0.0633	0.1535
Locus202	 0.1108	-0.0017	0.2611
Locus203	 0.0586	-0.0407	0.2332
Locus204	 0.1402	-0.0064	0.3246
Locus205	 0.0290	-0.0421	0.1560
Locus206	 0.0132	-0.0471	0.1095
Locus207	-0.0263	-0.0609	0.0165
Locus208	 0.0874	 0.0100	0.2096
Locus209	-0.0145	-0.0646	0.0651
Locus210	 0.0840	-0.0363	0.2482
Locus211	 0.0461	-0.0442	0.2633
Locus212	-0.0089	-0.0625	0.0656
Locus213	 0.0392	-0.0262	0.1126
Locus214	 0.3418	 0.2129	0.4763
Locus215	 0.0603	-0.0301	0.1613
Locus216	 0.1512	 0.0107	0.2776
Locus217	 0.0587	-0.0112	0.1574
Locus218	 0.1048	 0.0341	0.1834
Locus219	 0.0014	-0.0692	0.0980
Locus220	-0.0037	-0.0546	0.0677
Locus221	 0.1982	 0.0893	0.3067
Locus222	 0.0399	-0.0151	0.1107
Locus223	 0.0145	-0.0354	0.0854
Locus224	 0.2068	 0.0998	0.3501
Locus225	-0.0164	-0.0599	0.0682
Locus226	 0.0176	-0.0467	0.1253
Locus227	-0.0070	-0.0581	0.0732
Locus228	-0.0007	-0.0504	0.1113
Locus229	 0.0209	-0.0286	0.1105
Locus230	 0.0597	-0.0185	0.1794
Locus231	 0.0398	-0.0320	0.1470
Locus232	 0.0654	-0.0159	0.1964
Locus233	 0.0156	-0.0342	0.1145
Locus234	 0.1508	-0.0142	0.3485
Locus235	 0.0393	-0.0669	0.2384
Locus236	 0.0073	-0.0509	0.0762
Locus237	 0.0740	 0.0129	0.1552
Locus238	-0.0177	-0.0547	0.0409
Locus239	 0.1434	 0.0350	0.2944
Locus240	 0.0445	-0.0445	0.1707
Locus241	 0.0504	-0.0313	0.1821
Locus242	-0.0071	-0.0582	0.0776
Locus243	 0.0866	-0.0030	0.2158
Locus244	 0.2284	 0.1015	0.3720
Locus245	-0.0112	-0.0785	0.0910
Locus246	-0.0067	-0.0511	0.0532
Locus247	 0.0366	-0.0237	0.1144
Locus248	 0.1908	 0.0274	0.3818
Locus249	 0.0193	-0.0474	0.1093
Locus250	 0.0032	-0.0547	0.1285
Locus251	 0.0422	-0.0312	0.1549
Locus252	 0.0295	-0.0603	0.1763
Locus253	 0.1891	 0.0806	0.3140
Locus254	 0.0235	-0.0487	0.1320
Locus255	 0.0108	-0.0497	0.0981
Locus256	 0.0210	-0.0545	0.1357
Locus257	 0.0302	-0.0438	0.1503
Locus258	 0.0208	-0.0748	0.2172
Locus259	 0.0212	-0.0467	0.1683
Locus260	 0.0388	-0.0202	0.1191
Locus261	 0.1071	-0.0060	0.2384
Locus262	 0.1194	 0.0050	0.2593
Locus263	 0.0820	 0.0122	0.1603
Locus264	 0.0621	-0.0243	0.1917
Locus265	 0.0231	-0.0421	0.1295
Locus266	 0.2706	 0.1067	0.4435
Locus267	 0.1583	 0.0556	0.2654
Locus268	 0.1700	 0.0733	0.2652
Locus269	 0.0264	-0.0454	0.1133
Locus270	 0.0295	-0.0250	0.1357
Locus271	 0.0040	-0.0467	0.0745
Locus272	 0.0561	-0.0408	0.1840
Locus273	 0.0537	-0.0233	0.1691
Locus274	 0.0727	-0.0429	0.2704
Locus275	 0.0652	-0.0365	0.2154
Locus276	 0.1073	 0.0170	0.2345
Locus277	 0.0272	-0.0197	0.1009
Locus278	 0.1049	 0.0168	0.2376
Locus279	 0.0435	-0.0156	0.1109
Locus280	 0.1964	 0.0312	0.3886
Locus281	 0.0260	-0.0446	0.1215
Locus282	 0.0534	-0.0362	0.1955
Locus283	-0.0084	-0.0798	0.0828
Locus284	 0.0479	-0.0426	0.1600
Locus285	 0.1471	 0.0567	0.2888
Locus286	-0.0016	-0.0494	0.0902
Locus287	 0.0921	 0.0109	0.1923
Locus288	 0.0926	-0.0035	0.2020
Locus289	-0.0138	-0.0688	0.0731
Locus290	 0.0259	-0.0196	0.1321
Locus291	 0.0297	-0.0241	0.1270
Locus292	 0.0205	-0.0460	0.1264
